food_name,region,category,ingredients,preparation_steps,cooking_time_minutes
adhirasam,Tamil Nadu,Sweet,"Rice flour (2 cups), Jaggery (1.5 cups), Ghee (2 tbsp), Cardamom powder (1/2 tsp), Oil (for deep frying)","1. Melt jaggery with water and strain to remove impurities. 2. Add the jaggery syrup to the rice flour and mix well. 3. Add ghee and knead into a soft dough. 4. Let the dough rest for 2-3 days (traditional method). 5. Shape into small round discs with a hole in the center. 6. Deep fry on low heat until golden brown.",45
aloo_gobi,North India,Vegetarian Main,"Cauliflower (1 medium), Potatoes (2 medium), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Ginger (1 inch), Garlic (4 cloves), Green chilies (2), Tomatoes (2), Cooking oil (3 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Cut cauliflower into small florets and potatoes into cubes. 2. Heat oil in a pan, add cumin seeds. 3. Add chopped ginger, garlic, and green chilies. 4. Add tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add potatoes and cook for 5 minutes. 7. Add cauliflower and mix well. 8. Cover and cook on low heat for 15-20 minutes until vegetables are tender. 9. Garnish with fresh coriander leaves.",35
aloo_matar,North India,Vegetarian Main,"Potatoes (3 medium), Green peas (1 cup), Onion (1 large), Tomatoes (2 medium), Ginger-garlic paste (1 tbsp), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1/2 tsp), Oil (3 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Peel and cube potatoes into 1-inch pieces. 2. Heat oil in a pan, add cumin seeds. 3. Add chopped onions and sauté until golden brown. 4. Add ginger-garlic paste and sauté for 1 minute. 5. Add chopped tomatoes and cook until soft. 6. Add turmeric, red chili powder, coriander powder, and salt. 7. Add potatoes and cook for 5 minutes. 8. Add green peas and 1 cup water. 9. Cover and cook until potatoes are tender and gravy thickens. 10. Sprinkle garam masala and garnish with fresh coriander leaves.",30
aloo_methi,North India,Vegetarian Side,"Potatoes (3 medium), Fresh fenugreek leaves (2 cups), Cumin seeds (1 tsp), Turmeric powder (1/4 tsp), Red chili powder (1/2 tsp), Amchur powder (1/2 tsp), Asafoetida (a pinch), Oil (3 tbsp), Salt (to taste)","1. Wash and chop fenugreek leaves finely. 2. Peel and cube potatoes into small pieces. 3. Heat oil in a pan, add cumin seeds and asafoetida. 4. Add potatoes and sauté for 5 minutes. 5. Add turmeric powder, red chili powder, and salt. 6. Cover and cook until potatoes are half-done. 7. Add chopped fenugreek leaves and mix well. 8. Cover and cook on low heat until potatoes are tender and methi is wilted. 9. Add amchur powder, mix well and serve hot.",25
aloo_shimla_mirch,North India,Vegetarian Side,"Potatoes (3 medium), Bell peppers (2 large), Cumin seeds (1 tsp), Turmeric powder (1/4 tsp), Red chili powder (1/2 tsp), Coriander powder (1 tsp), Amchur powder (1/2 tsp), Oil (2 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Peel and cube potatoes into small pieces. 2. Cut bell peppers into squares. 3. Heat oil in a pan, add cumin seeds. 4. Add potatoes and sauté for 5 minutes. 5. Add turmeric powder, red chili powder, coriander powder, and salt. 6. Cover and cook until potatoes are half-done. 7. Add bell peppers and mix well. 8. Cover and cook on medium heat until potatoes are tender and bell peppers are cooked but still crunchy. 9. Add amchur powder, mix well. 10. Garnish with fresh coriander leaves and serve hot.",25
aloo_tikki,North India,Snack,"Potatoes (4 large), Green peas (1/2 cup boiled), Bread crumbs (1/2 cup), Cornflour (2 tbsp), Ginger (1 inch grated), Green chilies (2 finely chopped), Coriander leaves (1/4 cup chopped), Chaat masala (1 tsp), Cumin powder (1 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (for shallow frying)","1. Boil, peel and mash potatoes. 2. Coarsely mash the boiled green peas. 3. Mix potatoes, peas, ginger, green chilies, coriander leaves, and all spices. 4. Add cornflour and mix well. 5. Divide the mixture into equal portions and shape into flat round patties. 6. Coat each patty with bread crumbs. 7. Heat oil in a pan and shallow fry the tikkis on medium heat until golden brown on both sides. 8. Serve hot with mint chutney and tamarind chutney.",40
anarsa,Bihar,Sweet,"Rice flour (2 cups), Jaggery (1 cup), Poppy seeds (1/4 cup), Ghee (1/4 cup), Cardamom powder (1/2 tsp), Oil (for deep frying)","1. Wash rice and soak for 3 hours, then drain and dry in shade for 2 hours. 2. Grind into fine powder. 3. Mix rice powder with melted jaggery and knead into a soft dough. 4. Add cardamom powder and ghee, mix well. 5. Let the dough rest for 2-3 hours. 6. Shape into small flat rounds. 7. Press one side into poppy seeds. 8. Heat oil and deep fry on low heat until golden brown. 9. Drain on paper towels and store in an airtight container when completely cool.",60
ariselu,Andhra Pradesh,Sweet,"Rice flour (2 cups), Jaggery (1.5 cups), Cardamom powder (1/2 tsp), Sesame seeds (2 tbsp), Ghee (1/4 cup), Oil (for deep frying)","1. Dry roast rice flour until aromatic but not brown. 2. Melt jaggery with 1/4 cup water and strain to remove impurities. 3. Mix jaggery syrup with rice flour, cardamom powder, and sesame seeds. 4. Add ghee and knead into a soft dough. 5. Divide into equal portions and shape into flat rounds. 6. Heat oil on medium-low and deep fry until golden brown. 7. Drain on paper towels and store in an airtight container when completely cool.",50
bandar_laddu,Andhra Pradesh,Sweet,"Besan/Gram flour (2 cups), Ghee (1 cup), Sugar (1.5 cups), Cardamom powder (1/2 tsp), Cashew nuts (1/4 cup chopped), Raisins (2 tbsp)","1. Heat ghee in a heavy-bottomed pan. 2. Add besan and roast on low heat until aromatic and light brown. 3. Add sugar and mix well until sugar melts. 4. Add cardamom powder, cashew nuts, and raisins. 5. Mix well and remove from heat. 6. While still warm, shape into large round laddus. 7. Allow to cool completely before serving.",40
basundi,Gujarat,Sweet,"Whole milk (1 liter), Sugar (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1/2 tsp)","1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer, stirring occasionally to prevent sticking. 3. Scrape the sides and add the cream back to the milk. 4. Continue to simmer until milk reduces to half its volume. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron strands, and half of the nuts. 7. Simmer for another 5 minutes. 8. Remove from heat, add rose water. 9. Garnish with remaining nuts. 10. Serve chilled or warm.",60
